id,question_id,user_id,description,created_at
516,2,170,Medium,"2016-08-13 20:55:26"
517,4,170,5,"2016-08-13 20:55:26"
518,5,170,2,"2016-08-13 20:55:26"
519,6,170,4,"2016-08-13 20:55:26"
520,7,170,2,"2016-08-13 20:55:26"
521,10,170,1,"2016-08-13 20:55:26"
522,11,170,1,"2016-08-13 20:55:26"
523,12,170,"I appeared to be flying solo, there was no feedback and the one question I had went unanswered.  As I have systems engineering experience I was mildly disappointed it wasn't more collaborative.","2016-08-13 20:55:26"
524,1,167,"30 minutes","2016-08-13 21:47:45"
525,2,167,Medium,"2016-08-13 21:47:45"
526,4,167,2,"2016-08-13 21:47:45"
527,5,167,3,"2016-08-13 21:47:45"
528,6,167,1,"2016-08-13 21:47:45"
529,7,167,3,"2016-08-13 21:47:45"
530,8,167,1,"2016-08-13 21:47:45"
531,9,167,1,"2016-08-13 21:47:45"
532,12,167,,"2016-08-13 21:47:45"
533,1,171,25,"2016-08-13 22:33:51"
534,2,171,Medium,"2016-08-13 22:33:51"
535,4,171,4,"2016-08-13 22:33:51"
536,5,171,2,"2016-08-13 22:33:51"
537,6,171,5,"2016-08-13 22:33:51"
538,7,171,2,"2016-08-13 22:33:51"
539,10,171,3,"2016-08-13 22:33:51"
540,11,171,1,"2016-08-13 22:33:51"
541,12,171,,"2016-08-13 22:33:51"
542,1,172,"3 hrs","2016-08-13 22:55:54"
543,2,172,Easy,"2016-08-13 22:55:54"
544,4,172,5,"2016-08-13 22:55:54"
545,5,172,1,"2016-08-13 22:55:54"
546,6,172,5,"2016-08-13 22:55:54"
547,7,172,3,"2016-08-13 22:55:54"
548,12,172,"very interesting thanks","2016-08-13 22:55:54"
549,1,173,30,"2016-08-13 23:31:46"
550,2,173,Medium,"2016-08-13 23:31:46"
551,4,173,3,"2016-08-13 23:31:46"
552,5,173,2,"2016-08-13 23:31:46"
553,6,173,4,"2016-08-13 23:31:46"
554,7,173,3,"2016-08-13 23:31:46"
555,10,173,1,"2016-08-13 23:31:46"
556,11,173,1,"2016-08-13 23:31:46"
557,12,173,,"2016-08-13 23:31:46"
558,1,160,00:30,"2016-08-14 00:11:08"
559,2,160,Medium,"2016-08-14 00:11:08"
560,4,160,4,"2016-08-14 00:11:08"
561,5,160,2,"2016-08-14 00:11:08"
562,6,160,3,"2016-08-14 00:11:08"
563,7,160,3,"2016-08-14 00:11:08"
564,10,160,1,"2016-08-14 00:11:08"
565,11,160,2,"2016-08-14 00:11:08"
566,12,160,"Thank you","2016-08-14 00:11:08"
567,1,143,45,"2016-08-14 00:25:57"
568,2,143,High,"2016-08-14 00:25:57"
569,4,143,4,"2016-08-14 00:25:57"
570,5,143,2,"2016-08-14 00:25:57"
571,6,143,4,"2016-08-14 00:25:57"
572,7,143,2,"2016-08-14 00:25:57"
573,10,143,1,"2016-08-14 00:25:57"
574,11,143,1,"2016-08-14 00:25:57"
575,12,143,,"2016-08-14 00:25:57"
576,1,169,00:30,"2016-08-14 02:10:28"
577,2,169,Medium,"2016-08-14 02:10:28"
578,4,169,4,"2016-08-14 02:10:28"
579,5,169,2,"2016-08-14 02:10:28"
